id,url,launch_library_id,slug,name,net,window_end,window_start,mission,mission_type,pad,location,landing,landing_success,launcher,orbit,image,status.id,status.name
7323ed72-b69a-429c-8cfe-2ed454a8db28,http://spacelaunchnow.me/api/3.3.0/launch/7323ed72-b69a-429c-8cfe-2ed454a8db28/,1522.0,https://spacelaunchnow.me/launch/atlas-v-511-ussf-8,Atlas V 511 | USSF-8,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,,,Space Launch Complex 41,"Cape Canaveral, FL, USA",,,,,,2,TBD
7b60de1e-7d8a-4213-a2f5-44a01ae21e28,http://spacelaunchnow.me/api/3.3.0/launch/7b60de1e-7d8a-4213-a2f5-44a01ae21e28/,1954.0,https://spacelaunchnow.me/launch/soyuz-21a-obzor-r-no1,Soyuz 2.1a | Obzor-R No.1,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,,,Cosmodrome Site 1S,"Vostochny Cosmodrome, Siberia, Russian Federation",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/soyuz25202.1a_image_20190224012318.jpeg,2,TBD
aa88b853-9e04-4a28-9433-d87799331b1b,http://spacelaunchnow.me/api/3.3.0/launch/aa88b853-9e04-4a28-9433-d87799331b1b/,1695.0,https://spacelaunchnow.me/launch/falcon-heavy-ussf-44,Falcon Heavy | USSF-44,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,,,Launch Complex 39A,"Kennedy Space Center, FL, USA",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/falcon2520heavy_image_20190224025007.jpeg,2,TBD
b19c48ca-3f3a-4ace-9d1c-f9e6a12a647d,http://spacelaunchnow.me/api/3.3.0/launch/b19c48ca-3f3a-4ace-9d1c-f9e6a12a647d/,1311.0,https://spacelaunchnow.me/launch/delta-iv-heavy-nrol-82,Delta IV Heavy | NROL-82,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,NROL-82,Government/Top Secret,Space Launch Complex 6,"Vandenberg AFB, CA, USA",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/delta2520iv2520heavy_image_20190224012313.jpeg,2,TBD
bc27a867-39e3-4cf7-9bb9-7a06c3a30543,http://spacelaunchnow.me/api/3.3.0/launch/bc27a867-39e3-4cf7-9bb9-7a06c3a30543/,2024.0,https://spacelaunchnow.me/launch/soyuz-21bfregat-glonass-k1-2,Soyuz 2.1b/Fregat | Glonass-K1,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,,,43/3 (43L),"Plesetsk Cosmodrome, Russian Federation",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/soyuz25202.1b_image_20190520165608.png,2,TBD
d5d607b7-05ed-4142-8703-14b553c195e0,http://spacelaunchnow.me/api/3.3.0/launch/d5d607b7-05ed-4142-8703-14b553c195e0/,1412.0,https://spacelaunchnow.me/launch/falcon-9-block-5-turksat-5a,Falcon 9 Block 5 | Türksat 5A,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,,,Space Launch Complex 40,"Cape Canaveral, FL, USA",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/falcon25209_image_20190224025007.jpeg,2,TBD
e5bf5439-7687-4f67-b70d-9d1c0cf8e0dc,http://spacelaunchnow.me/api/3.3.0/launch/e5bf5439-7687-4f67-b70d-9d1c0cf8e0dc/,2015.0,https://spacelaunchnow.me/launch/soyuz-21bfregat-m-oneweb-7,Soyuz 2.1b/Fregat-M | OneWeb 7,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,,,Cosmodrome Site 1S,"Vostochny Cosmodrome, Siberia, Russian Federation",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/soyuz25202.1b_image_20190520165337.jpg,2,TBD
e7f1ab18-908c-46b0-a16d-7deb6a52a8c1,http://spacelaunchnow.me/api/3.3.0/launch/e7f1ab18-908c-46b0-a16d-7deb6a52a8c1/,1367.0,https://spacelaunchnow.me/launch/h-iia-inmarsat-6-f1,H-IIA | Inmarsat-6 F1,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,,,Yoshinobu Launch Complex,"Tanegashima, Japan",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/h-ii_image_20190224012325.jpeg,2,TBD
f1bcfbf6-d00d-42d7-bc68-82252817a57e,http://spacelaunchnow.me/api/3.3.0/launch/f1bcfbf6-d00d-42d7-bc68-82252817a57e/,2055.0,https://spacelaunchnow.me/launch/atlas-v-n22-cst-100-starliner-orbital-flight-tes-2,Atlas V N22 | CST-100 Starliner Orbital Flight Test 2 (Uncrewed),2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,CST-100 Starliner Orbital Flight Test 2 (Uncrewed),Test Flight,Space Launch Complex 41,"Cape Canaveral, FL, USA",,,,LEO,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/atlas2520v2520n22_image_20190224012241.jpeg,2,TBD
79e3f7a7-9c50-4d87-a069-c6aa7dd641d6,http://spacelaunchnow.me/api/3.3.0/launch/79e3f7a7-9c50-4d87-a069-c6aa7dd641d6/,1677.0,https://spacelaunchnow.me/launch/soyuz-21a-soyuz-ms-17,Soyuz 2.1a | Soyuz MS-17,2020-10-14T00:00:00Z,2020-10-14T00:00:00Z,2020-10-14T00:00:00Z,,,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/soyuz25202.1a_image_20190224012318.jpeg,2,TBD
