id,name,isin,symbol,contractSize,productType,productTypeId,tradable,category,currency,exchangeId,onlyEodPrices,orderTimeTypes,buyOrderTypes,sellOrderTypes,productBitTypes,closePrice,closePriceDate,feedQuality,orderBookDepth,vwdIdentifierType,vwdId,qualitySwitchable,qualitySwitchFree,vwdModuleId,etfIssuerId,feeType,region,totalExpenseRatio,quoteCurrency,assetAllocation,administrator,benchmark,class,feedQualitySecondary,orderBookDepthSecondary,vwdIdentifierTypeSecondary,vwdIdSecondary,qualitySwitchableSecondary,qualitySwitchFreeSecondary,vwdModuleIdSecondary,strikePrice,expirationDate
885405,Invesco STOXX Europe 600 Opt Health Care ETF Acc,IE00B5MJYY16,SC0T,1.0,ETF,131,True,H,EUR,194,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],307.1,2021-04-09,D15,0.0,issueid,480174524,False,False,25.0,57,1,Worldwide,0.3,EUR,Shares,Invesco Investment Management Limited,*none*,A,,,,,,,,0.0,
868572,AMU.ETF G.BD EMTS B.IG 7-10DR,FR0010754184,C73,1.0,ETF,131,True,F,EUR,710,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],280.28,2021-04-09,R,0.0,issueid,360277089,False,False,1.0,4,1,*none*,0.14,EUR,Bonds,Amundi Asset Management,FTSE MTS Eurozone Government Bond IG 7-10Y Index,*none*,,,,,,,,-0.0001,
4622300,LYXOR MSCI WLD ENERGY UCITS ETF - ACC,LU0533032420,ENERW,1.0,ETF,131,True,I,EUR,608,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLIMIT']",[],213.6,2021-04-09,D15,0.0,issueid,300099825,True,False,12.0,42,1,Worldwide,0.3,EUR,Shares,Lyxor International Asset Management S.A.S.,MSCI World Energy Sector Net TR USD,C-EUR,,,,,,,,,
5242549,I.M.III-I.FTSE R.A.W.3000 UETF,IE00B23LNQ02,PSWD,1.0,ETF,131,True,H,EUR,194,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],20.175,2021-04-09,D15,0.0,issueid,480015191,False,False,25.0,47,1,Worldwide,0.39,PNC,Shares,Invesco Investment Management Limited,FTSE RAFI All-World 3000 Index,*none*,,,,,,,,,
3238107,XTRACKERS MSCI EMU,LU0846194776,XD5E,1.0,ETF,131,True,H,EUR,194,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],45.3,2021-04-09,D15,0.0,issueid,480013260,False,False,25.0,13,1,Euro Area,0.12,PNC,Shares,DWS Investment S.A.,MSCI EMU,*none*,,,,,,,,,
13765603,Xtrackers MSCI Emerging Markets UCITS ETF 1C,IE00BTJRMP35,XMME,1.0,ETF,131,True,I,CHF,947,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],59.0,2021-04-09,D15,0.0,issueid,490105299,False,False,18.0,13,1,Emerging markets,0.18,EUR,Shares,DWS Investment S.A.,MSCI Total Return Net Emerging Markets Index,1C,,,,,,,,,
15737082,IS WRD EE UD,IE00BG11HV38,EEWD,1.0,ETF,131,True,H,USD,570,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],7.201,2021-04-09,D15,0.0,issueid,430132178,True,False,14.0,39,1,*none*,,*none*,*none*,*none*,*none*,*none*,,,,,,,,,
16959897,KraneShares MSCI China ESG Leaders UCITS ETF,IE00BKPT4N29,KESG,1.0,ETF,131,True,A,USD,570,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],38.8,2021-04-09,D15,0.0,issueid,430135169,True,False,14.0,181,1,China & Hong-Kong,0.4,USD,Shares,DMS Investment Management Services (Europe) Limited,MSCI China ESG Leaders 10/40 Index (USD),USD,,,,,,,,,
15635523,IVZ S&P 600,IE00BH3YZ803,USML,1.0,ETF,131,True,A,USD,570,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],59.14,2021-04-09,D15,0.0,issueid,430132057,True,False,14.0,181,1,*none*,0.14,USD,*none*,Invesco Investment Management Limited,*none*,A,,,,,,,,,
14114126,Lyxor Euro Govt Inflation Lnkd Bd (DR) UCITS ETF A,LU1650491282,EMI,1.0,ETF,131,True,F,EUR,608,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLIMIT']",[],164.97,2021-04-09,D15,0.0,issueid,300099299,True,False,12.0,42,1,*none*,0.09,PNC,*none*,Lyxor International Asset Management S.A.S.,MTS Mid Price InvG Inflation-Linked Aggr All-Maturity (EUR),C-EUR,,,,,,,,,
