id,name,isin,symbol,contractSize,productType,productTypeId,tradable,category,currency,exchangeId,onlyEodPrices,orderTimeTypes,buyOrderTypes,sellOrderTypes,productBitTypes,closePrice,closePriceDate,feedQuality,orderBookDepth,vwdIdentifierType,vwdId,qualitySwitchable,qualitySwitchFree,vwdModuleId,strikePrice,expirationDate
13734217,BDT MEDIA AUTOM.ANL 17/24,DE000A2E4A94,B0D1,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],104.0,2021-04-09,R,0.0,issueid,150027392,False,False,25.0,,14-7-2024
8299237,GOTHAER ALLG.VERS.15/45,DE000A168478,DE000A168478,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']",[],116.96,2021-04-09,R,0.0,issueid,150078026,False,False,25.0,,30-10-2045
3232823,OT5.65% 15FEB24,PTOTEQOE0015,BOTES,0.01,BOND,2,True,D,EUR,560,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],117.749,2021-04-09,R,0.0,issueid,240130316,False,False,1.0,,15-2-2024
854556,JPM RAN FRNAUG35D,XS0228393731,XS0228393731,0.01,BOND,2,True,D,EUR,200,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],97.95,2021-04-09,R,0.0,issueid,5000082,False,False,1.0,-0.0001,30-9-2035
16360495,DZ BANK PERP. 06/UND. FLR,DE000A0GMRS6,D1ZB,0.01,BOND,2,True,C,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],99.8,2021-04-09,R,0.0,issueid,150055671,False,False,25.0,,10-1-2098
12365443,GREEN CITY ENER.IHS.15/33,DE000A161MR9,DE000A161MR9,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],100.0,2021-02-04,R,0.0,issueid,150087745,False,False,25.0,,30-12-2033
16866154,DEUTSCHE ROHSTOFF 19/24,DE000A2YN3Q8,DR03,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],103.25,2021-04-09,R,0.0,issueid,600100980,False,False,25.0,,6-12-2024
1525442,BUNDANL.V. 11/21,DE0001135457,BB45,0.01,BOND,2,True,D,EUR,194,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],109.246,2018-05-28,,,,,,,,,4-9-2021
13940120,PHOTON ENERGY 17/22,DE000A19MFH4,,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],103.75,2021-04-09,R,0.0,issueid,600053667,False,False,25.0,,27-10-2022
9353909,NB FIN. 09/44 ZO MTN,XS0439764191,,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']",[],28.41,2021-04-09,R,0.0,issueid,150073618,False,False,25.0,,13-7-2044
13395771,OESTERR. 12/62,AT0000A0U299,OET8,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],213.99,2021-04-09,R,0.0,issueid,150045773,False,False,25.0,,23-1-2062
