,nombre,renta_media_disponible,Codigo_postal
343, La Florida Les Planes ,18.632,08905
344, Pubilla Cases Can Serra San Feliú ,20.009,08906
345, Bellvitge Centre ,21.898,08907
346, Bellvitge Gran Vía Sud ,24.419,08908
347,resto Hospitalet de Llobregat,20.721,0890
348, Sabadell ,24.433,08187
349, Centre ,32.87,08201
350, Torre Romeu El Poblenou ,28.647,08202
351, Montserrat Roig María Mercé Marçal Montevideo ,24.042,08203
352, Margarida Xirgu Consol Oromir Triana Sant Pius X ,19.714,08204
353, Gracia Aeropuerto ,23.728,08205
354, Parque Odessa Parque Catalunya ,23.12,08206
355, Matadepera ,20.727,08207
356, Creu Alta Can Puig Gener ,25.363,08208
357,resto Sabadell,22.904,0820
358, Sant Cugat del Vallès ,42.369,08205
359, Sant Cugat Nucleo ,37.631,08172
360, Golf Eixemple Colomer ,47.174,08173
361, Can Barata ,38.234,08174
362, Mirasol ,45.243,08195
363, Valldoreix ,47.536,08197
364, La Floresta ,35.193,08198
365,resto Sant Cugat del Vallès,36.885,0819
366, Terrassa ,23.751,08279
367, El Centre ,31.824,08221
368, Valparadis ,22.56,08222
369, Segle X ,22.017,08223
370, La Cogallura Vista Alegre ,24.376,08224
371, Placita Del Bon Aire Can Roca Poble Nou ,23.786,08225
372, Can Tussel ,20.975,08226
373, Can Montlior Els Bellots ,21.122,08227
374, P.I. Can Perellada Perellada ,23.608,08228
375,resto Terrassa,22.039,0822
376, Alicante/Alacant ,22.822,03014
377, Centro ,33.528,03001
378, Casco Antiguo ,26.321,03002
379, Ensanche ,31.177,03003
380, San Antón ,24.321,03004
381, Polígono de San Blas ,23.029,03005
382, Florida Portazgo ,18.125,03006
383, Polígono de Babel ,20.733,03007
384, Puerto de Alicante El Palmeral ,23.394,03008
385, Los Ángeles Campoamor ,17.829,03009
386, Altozano ,18.478,03010
387, Ciudad Jardín ,15.72,03011
388, Carolinas ,16.708,03012
389, Repós ,17.964,03013
390, Nou Alacant ,15.213,03014
391, Parque de Las Avenidas Vistahermosa ,22.144,03015
392, La Goteta La Cantera ,26.201,03016
393, Villafranqueza ,18.122,03112
394, Playa de San Juan ,30.657,03540
395, Moralet ,18.97,03699
396,resto Alicante/Alacant,23.002,036
397, Elche/Elx ,18.426,03065
398, El Vincle Novavallverda Valverde Barrio Alto ,24.621,03139
399, L Altet Els Bassars ,20.516,03195
400, Plá de Sant Josép Pont Nou ,18.425,03201
401, Altabix Ciutat Esportiva ,20.585,03202
402, Parque industrial ,21.88,03203
403, Sector 5º El Asilo El Canal ,16.385,03204
404, Altamira El Toscar ,15.438,03205
405, Carrús Pza. Barcelona ,13.887,03206
406, La Galia  Bonavista  Les Cases de Ferrández ,23.718,03207
407, El Travaló ,21.482,03208
408, Las Baias ,17.985,03292
409, Pol.Ind. del Llano SnaJosé  Pla Nou  Algorós  El Derramador ,19.978,03293
410, La Foia ,16.868,03294
411, Les Selades Jubalcoy Maitino Perleta ,21.295,03295
412, Matola Algoda ,20.852,03296
413, Torrellano ,17.969,03320
414,resto Elche/Elx,21.481,033
415, Castellón de la Plana/Castelló de la Plana ,22.916,12040
416, Centro Casco Histórico ,28.995,12001
417, Centro Hospital Ribalta Pza. Toros ,26.331,12002
418, Este/Zona Avda. del Mar ,25.992,12003
419, Norte Nou Estadi Castalia Pza. Illes Columbretes ,22.609,12004
420, Sur Parque Sensal ,22.707,12005
421, Sur Oeste Universidad ,20.023,12006
422, El Grao ,22.06,12100
423,resto Castellón de la Plana/Castelló de la Plana,37.965,12
424, Valencia ,25.415,46250
425, El Pilar ,30.073,46001
426, El Centro ,47.087,46002
427, Carmen ,36.553,46003
428, Pla de Remei ,67.613,46004
429, Gran Vía ,36.051,46005
430, Ruzafa ,23.195,46006
431, Patraix ,26.475,46007
432, Extramurs ,27.375,46008
433, Marchalenes ,22.108,46009
434, Mestalla ,42.756,46010
435, Poblet Maritims ,22.04,46011
436, La Albufera ,24.893,46012
437, Quatre ,24.176,46013
438, Barrio de La Luz ,20.811,46014
439, Campanar ,27.265,46015
440, Tavernes Blanques ,21.7,46016
441, La Cruz Cubierto ,19.973,46017
442, La Luz ,21.3,46018
443, Torrefiel ,20.52,46019
444, Benimaclet ,25.696,46020
445, Algirós ,26.796,46021
446, Ayora ,23.277,46022
447, La Crus Del Grao ,29.373,46023
448, Nazaret ,20.308,46024
449, Benicalap ,20.348,46025
450, Malilla ,21.142,46026
451, Sant Pau Benimanet ,18.611,46035
452, Massarrochos Santa Bárbara ,35.003,46112
453,resto Valencia,19.915,46
454, Coruña A ,25.74,15030
455, Ciudad Vieja Centro ,30.894,15001
456, Monte Alot Zalaeta Atocha ,23.64,15002
457, Ensanche ,32.382,15003
458, Juan Flórez San Pablo ,41.626,15004
459, Falperra Santa Lucía Paseo de Los Puentes Sta Margarita ,31.151,15005
